t,u,v,w,T
12.55,3.649,1.242,0.644,14.705
12.6,3.806,1.176,0.523,14.883
12.65,3.83,1.494,0.581,14.879
12.7,3.953,1.36,0.468,14.927
12.75,3.812,1.49,0.426,14.908
12.8,3.926,1.443,0.137,14.927
12.85,4.052,1.27,0.187,14.901
12.9,3.994,1.311,-0.065,14.91
12.95,3.998,1.366,-0.023,14.915
13.0000000000001,3.901,1.452,-0.066,14.93
13.0500000000001,3.675,1.526,-0.093,14.964
13.1000000000001,3.783,1.501,-0.036,14.905
13.1500000000001,3.848,1.403,-0.05,14.916
13.2000000000001,3.909,1.289,0.025,14.891
13.2500000000001,3.603,1.188,-0.251,14.855
13.3000000000001,3.791,1.012,-0.025,14.881
13.3500000000001,3.707,0.938,-0.137,14.85
13.4000000000001,3.631,1.046,-0.06,14.85
13.4500000000001,3.681,1.072,-0.148,14.859
13.5000000000001,3.678,1.311,-0.154,14.92
13.5500000000001,3.53,1.241,-0.246,14.942
13.6000000000001,3.749,1.045,-0.371,14.871
13.6500000000001,3.618,1.016,-0.335,14.861
13.7000000000001,3.581,0.857,-0.242,14.867
13.7500000000001,3.7,0.582,-0.437,14.762
13.8000000000001,3.68,0.845,-0.595,14.876
13.8500000000001,3.554,0.673,-0.595,14.913
13.9000000000001,3.561,0.812,-0.631,14.906
13.9500000000001,3.481,0.877,-0.722,14.925
14.0000000000001,3.389,0.847,-0.711,14.901
14.0500000000001,3.322,1.094,-0.527,14.943
14.1000000000001,3.372,0.826,-0.503,14.937
14.1500000000001,3.277,0.955,-0.522,14.952
14.2000000000001,3.419,1.114,-0.511,14.964
14.2500000000001,3.405,0.635,-0.495,14.906
14.3000000000001,3.244,0.723,-0.594,14.945
14.3500000000001,3.19,0.691,-0.836,14.842
14.4000000000001,3.408,0.507,-0.822,14.779
14.4500000000001,3.443,0.366,-0.53,14.835
14.5000000000001,3.615,0.607,-0.328,14.795
14.5500000000001,3.861,0.717,-0.267,14.839
14.6000000000001,3.783,0.678,-0.144,14.854
14.6500000000001,3.697,0.764,-0.458,14.874
